"","PassengerId","Survived","PassengerID","Survived1"
"1",892,0,892,0
"2",893,1,893,1
"3",894,0,894,0
"4",895,0,895,0
"5",896,1,896,1
"6",897,0,897,0
"7",898,1,898,1
"8",899,0,899,0
"9",900,1,900,1
"10",901,0,901,0
"11",902,0,902,0
"12",903,0,903,0
"13",904,1,904,1
"14",905,0,905,0
"15",906,1,906,1
"16",907,1,907,1
"17",908,0,908,0
"18",909,0,909,0
"19",910,1,910,1
"20",911,1,911,1
"21",912,0,912,0
"22",913,0,913,0
"23",914,1,914,1
"24",915,0,915,0
"25",916,1,916,1
"26",917,0,917,0
"27",918,1,918,1
"28",919,0,919,0
"29",920,0,920,0
"30",921,0,921,0
"31",922,0,922,0
"32",923,0,923,0
"33",924,1,924,1
"34",925,1,925,1
"35",926,0,926,0
"36",927,0,927,0
"37",928,1,928,1
"38",929,1,929,1
"39",930,0,930,0
"40",931,0,931,0
"41",932,0,932,0
"42",933,0,933,0
"43",934,0,934,0
"44",935,1,935,1
"45",936,1,936,1
"46",937,0,937,0
"47",938,0,938,0
"48",939,0,939,0
"49",940,1,940,1
"50",941,1,941,1
"51",942,0,942,0
"52",943,0,943,0
"53",944,1,944,1
"54",945,1,945,1
"55",946,0,946,0
"56",947,0,947,0
"57",948,0,948,0
"58",949,0,949,0
"59",950,0,950,0
"60",951,1,951,1
"61",952,0,952,0
"62",953,0,953,0
"63",954,0,954,0
"64",955,1,955,1
"65",956,0,956,0
"66",957,1,957,1
"67",958,1,958,1
"68",959,0,959,0
"69",960,0,960,0
"70",961,1,961,1
"71",962,1,962,1
"72",963,0,963,0
"73",964,1,964,1
"74",965,0,965,0
"75",966,1,966,1
"76",967,0,967,0
"77",968,0,968,0
"78",969,1,969,1
"79",970,0,970,0
"80",971,1,971,1
"81",972,0,972,0
"82",973,0,973,0
"83",974,0,974,0
"84",975,0,975,0
"85",976,0,976,0
"86",977,0,977,0
"87",978,1,978,1
"88",979,1,979,1
"89",980,1,980,1
"90",981,0,981,0
"91",982,1,982,1
"92",983,0,983,0
"93",984,1,984,1
"94",985,0,985,0
"95",986,0,986,0
"96",987,0,987,0
"97",988,1,988,1
"98",989,0,989,0
"99",990,1,990,1
"100",991,0,991,0
"101",992,1,992,1
"102",993,0,993,0
"103",994,0,994,0
"104",995,0,995,0
"105",996,1,996,1
"106",997,0,997,0
"107",998,0,998,0
"108",999,0,999,0
"109",1000,0,1000,0
"110",1001,0,1001,0
"111",1002,0,1002,0
"112",1003,1,1003,1
"113",1004,1,1004,1
"114",1005,1,1005,1
"115",1006,1,1006,1
"116",1007,0,1007,0
"117",1008,0,1008,0
"118",1009,1,1009,1
"119",1010,0,1010,0
"120",1011,1,1011,1
"121",1012,1,1012,1
"122",1013,0,1013,0
"123",1014,1,1014,1
"124",1015,0,1015,0
"125",1016,0,1016,0
"126",1017,1,1017,1
"127",1018,0,1018,0
"128",1019,1,1019,1
"129",1020,0,1020,0
"130",1021,0,1021,0
"131",1022,0,1022,0
"132",1023,0,1023,0
"133",1024,1,1024,1
"134",1025,0,1025,0
"135",1026,0,1026,0
"136",1027,0,1027,0
"137",1028,0,1028,0
"138",1029,0,1029,0
"139",1030,1,1030,1
"140",1031,0,1031,0
"141",1032,1,1032,0
"142",1033,1,1033,1
"143",1034,0,1034,0
"144",1035,0,1035,0
"145",1036,0,1036,0
"146",1037,0,1037,0
"147",1038,0,1038,0
"148",1039,0,1039,0
"149",1040,0,1040,0
"150",1041,0,1041,0
"151",1042,1,1042,1
"152",1043,0,1043,0
"153",1044,0,1044,0
"154",1045,1,1045,1
"155",1046,0,1046,0
"156",1047,0,1047,0
"157",1048,1,1048,1
"158",1049,1,1049,1
"159",1050,0,1050,0
"160",1051,1,1051,1
"161",1052,1,1052,1
"162",1053,0,1053,0
"163",1054,1,1054,1
"164",1055,0,1055,0
"165",1056,0,1056,0
"166",1057,1,1057,1
"167",1058,0,1058,0
"168",1059,0,1059,0
"169",1060,1,1060,1
"170",1061,1,1061,1
"171",1062,0,1062,0
"172",1063,0,1063,0
"173",1064,0,1064,0
"174",1065,0,1065,0
"175",1066,0,1066,0
"176",1067,1,1067,1
"177",1068,1,1068,1
"178",1069,0,1069,0
"179",1070,1,1070,1
"180",1071,1,1071,1
"181",1072,0,1072,0
"182",1073,0,1073,0
"183",1074,1,1074,1
"184",1075,0,1075,0
"185",1076,1,1076,1
"186",1077,0,1077,0
"187",1078,1,1078,1
"188",1079,0,1079,0
"189",1080,1,1080,0
"190",1081,0,1081,0
"191",1082,0,1082,0
"192",1083,0,1083,0
"193",1084,0,1084,0
"194",1085,0,1085,0
"195",1086,0,1086,0
"196",1087,0,1087,0
"197",1088,0,1088,0
"198",1089,1,1089,1
"199",1090,0,1090,0
"200",1091,1,1091,1
"201",1092,1,1092,1
"202",1093,0,1093,0
"203",1094,0,1094,0
"204",1095,1,1095,1
"205",1096,0,1096,0
"206",1097,0,1097,0
"207",1098,1,1098,1
"208",1099,0,1099,0
"209",1100,1,1100,1
"210",1101,0,1101,0
"211",1102,0,1102,0
"212",1103,0,1103,0
"213",1104,0,1104,0
"214",1105,1,1105,1
"215",1106,1,1106,0
"216",1107,0,1107,0
"217",1108,1,1108,1
"218",1109,0,1109,0
"219",1110,1,1110,1
"220",1111,0,1111,0
"221",1112,1,1112,1
"222",1113,0,1113,0
"223",1114,1,1114,1
"224",1115,0,1115,0
"225",1116,1,1116,1
"226",1117,1,1117,1
"227",1118,0,1118,0
"228",1119,1,1119,1
"229",1120,0,1120,0
"230",1121,0,1121,0
"231",1122,0,1122,0
"232",1123,1,1123,1
"233",1124,0,1124,0
"234",1125,0,1125,0
"235",1126,0,1126,0
"236",1127,0,1127,0
"237",1128,0,1128,0
"238",1129,0,1129,0
"239",1130,1,1130,1
"240",1131,1,1131,1
"241",1132,1,1132,1
"242",1133,1,1133,1
"243",1134,0,1134,0
"244",1135,0,1135,0
